date,match,country,try_scored,ball_carry_meters,ball_carry,beat_defender,line_break,passes,offload,total_turnovers_conceded,try_assist,points_scored,tackle_made,tackle_missed,total_turnovers_gained,kicks_from_hand,conversion_successful,penalty_goal_successful,drop_kick_successful,lineout_won_own_throw,lineout_won_steal,penalties_conceded,red_card,yellow_card,possession,drop_goal_missed,penalty_missed,conversion_missed,rucks_won,rucks_lost,mauls_won,scrum_won,scrum_lost
2020-12-06,england_vs_france,England,1,221,119,15,2,165,10,20,0,22,129,32,7,45,1,5,0,13,1,8,0,0,0.5328947368421053,0,4,0,96,8,7,4,0
2020-12-06,england_vs_france,France,1,143,101,5,1,103,3,13,1,19,146,4,13,51,1,4,0,9,2,16,0,0,0.46710526315789475,0,0,0,93,3,2,4,0
2020-11-14,england_vs_georgia,England,6,155,85,7,3,128,2,20,2,40,94,12,6,32,5,0,0,21,0,5,0,0,0.5802238805970149,0,0,1,78,1,8,11,1
2020-11-14,england_vs_georgia,Georgia,0,49,67,5,0,76,6,18,0,0,104,9,3,25,0,0,0,7,0,12,0,0,0.4197761194029851,0,0,0,64,3,3,6,1
2020-11-21,england_vs_ireland,England,2,178,77,6,3,102,6,12,1,18,218,18,7,32,1,2,0,10,1,13,0,0,0.3710879284649776,0,0,1,54,1,6,4,0
2020-11-21,england_vs_ireland,Ireland,1,207,144,8,1,173,6,16,1,7,77,13,7,37,1,0,0,11,0,12,0,0,0.6289120715350224,0,0,0,141,5,3,8,0
2020-11-28,france_vs_italy,France,5,258,76,4,3,108,5,14,4,36,134,11,8,46,4,1,0,13,2,9,0,0,0.46448863636363635,0,0,1,80,4,5,4,2
2020-11-28,france_vs_italy,Italy,1,146,98,0,1,150,9,17,1,5,99,14,5,41,0,0,0,8,0,8,0,0,0.5355113636363636,0,0,1,94,4,2,4,1
2020-12-05,georgia_vs_fiji,Fiji,6,159,88,7,2,87,5,17,4,38,95,10,9,19,4,0,0,6,0,12,0,0,0.5176991150442478,0,0,2,79,4,1,7,0
2020-12-05,georgia_vs_fiji,Georgia,3,156,88,10,2,81,4,17,1,24,132,25,2,16,3,1,0,9,0,9,0,0,0.4823008849557522,0,0,0,75,5,5,8,1
2020-11-29,ireland_vs_georgia,Georgia,1,106,43,7,1,62,1,28,1,10,183,14,9,10,1,1,0,9,0,14,0,0,0.2936802973977695,0,0,0,38,3,2,4,2
2020-11-29,ireland_vs_georgia,Ireland,2,289,149,14,6,192,3,15,2,23,67,9,12,22,2,3,0,16,4,10,0,0,0.7063197026022305,0,0,0,112,3,5,10,2
2020-12-05,ireland_vs_scotland,Ireland,3,237,112,5,1,148,2,9,1,31,123,15,4,26,2,4,0,11,0,10,0,0,0.5641447368421053,0,1,0,114,4,7,7,1
2020-12-05,ireland_vs_scotland,Scotland,1,87,84,11,3,119,5,12,0,16,150,13,4,18,1,3,0,5,0,15,0,1,0.43585526315789475,0,1,0,79,0,2,1,0
2020-11-13,ireland_vs_wales,Ireland,2,217,119,3,4,123,4,21,1,32,90,11,6,16,2,6,0,7,3,13,0,0,0.5923809523809523,0,0,0,103,7,4,4,2
2020-11-13,ireland_vs_wales,Wales,0,122,75,8,1,103,3,12,0,9,131,9,11,18,0,3,0,9,0,18,0,0,0.4076190476190476,0,3,0,63,2,1,1,4
2020-11-14,italy_vs_scotland,Italy,1,211,131,12,2,157,11,10,1,17,130,32,6,29,0,4,0,10,1,7,0,0,0.5454545454545454,0,0,1,107,3,3,8,0
2020-11-14,italy_vs_scotland,Scotland,3,240,97,3,7,118,13,18,2,23,150,19,6,24,4,0,0,12,0,11,0,0,0.45454545454545453,0,0,0,89,2,10,1,0
2020-11-22,scotland_vs_france,France,1,247,81,6,2,96,6,16,1,22,142,21,2,30,1,4,1,9,1,8,0,0,0.46245733788395904,0,1,0,64,2,5,6,0
2020-11-22,scotland_vs_france,Scotland,0,160,96,4,2,117,2,15,0,15,109,21,6,31,0,5,0,6,1,15,0,0,0.537542662116041,0,0,0,95,3,4,5,1
2020-11-28,wales_vs_england,England,2,113,96,9,3,141,3,15,1,24,98,5,7,37,1,4,0,10,1,7,0,0,0.6074600355239786,0,2,1,94,1,6,7,0
2020-11-28,wales_vs_england,Wales,1,50,56,0,0,80,3,16,0,13,150,7,6,25,1,2,0,12,0,17,0,0,0.3925399644760213,0,1,0,62,4,2,4,2
2020-11-21,wales_vs_georgia,Georgia,0,104,73,4,1,96,8,20,0,0,145,22,8,25,0,0,0,7,0,14,0,1,0.39171974522292996,0,1,0,63,4,4,2,1
2020-11-21,wales_vs_georgia,Wales,2,189,116,11,3,179,4,19,2,18,99,11,8,25,1,2,0,11,1,7,0,0,0.60828025477707,0,1,1,113,3,5,9,0
2020-12-05,wales_vs_italy,Italy,2,264,92,11,3,122,5,15,2,18,143,23,4,23,1,2,0,8,1,11,0,0,0.4810725552050473,0,0,1,86,4,4,4,0
2020-12-05,wales_vs_italy,Wales,5,194,103,2,2,135,2,11,2,38,96,6,12,32,5,1,0,9,4,13,0,1,0.5189274447949527,1,0,0,100,1,4,1,0
